id,name,No,Goals,penalty,games,home,guest
1,Промес Квинси ,10,4,0,4,2,2
2,Комличенко Николай Николаевич,27,4,1,4,2,2
3,Смолов Фёдор Михайлович,10,4,2,3,2,2
4,Сперцян Эдуард Мкртычевич,10,4,3,4,2,2
5,Долгов Александр Владимирович,10,3,0,4,1,2
6,Сычевой Владимир Александрович,77,3,0,3,3,0
7,Медина Хесус ,28,3,0,4,3,0
8,Карраскаль Хорхе ,8,3,1,4,3,0
9,Сергеев Иван Владимирович,33,2,0,3,2,0
10,Сулейманов Тимур Играмутдинович,93,2,0,3,2,0
11,Мозес Виктор ,8,2,0,4,0,2
12,Мостовой Андрей Андреевич,17,2,0,4,2,0
13,Руденко Александр Александрович,9,2,0,4,1,1
14,Вендел,8,2,0,3,1,1
15,Чалов Фёдор Николаевич,9,2,0,4,1,1
16,Мирзов Резиуан Мухамедович,77,2,0,4,2,0
17,Глушенков Максим Александрович,15,2,0,4,0,2
18,Кучаев Константин Витальевич,20,2,0,4,1,1
19,Акбашев Роман Радикович,7,2,0,4,1,1
20,Гонгадзе Георгий Михайлович,21,2,1,3,1,1
21,Нобоа Кристиан ,16,2,1,3,2,0
22,Марадишвили Константин Кобович,5,1,0,2,1,0
23,Якуба Денис Евгеньевич,10,1,0,2,0,1
24,Игнатов Михаил Александрович,22,1,0,1,0,1
25,Шитов Владислав Алексеевич,73,1,0,3,1,0
26,Аюпов Тимур Ансарович,5,1,0,2,1,0
27,Мелкадзе Георгий Джемалович,9,1,0,3,0,1
28,Агаларов Гамид Русланович,77,1,0,4,1,0
29,Ильин Владимир Дмитриевич,29,1,0,4,1,0
30,Рамирес Кристиан ,6,1,0,3,1,0
31,Сарвели Владислав Константинович,10,1,0,3,0,1
32,Мартинс Кристофер ,35,1,0,4,1,0
33,Максимов Максим Сергеевич,9,1,0,4,0,1
34,Грулёв Вячеслав Дмитриевич,20,1,0,3,1,0
35,Каштанов Алексей Дмитриевич,79,1,0,4,1,0
36,Юлдошев Иброгимхалил Хабибулла угли,6,1,0,4,0,1
37,Кротов Вячеслав Александрович,9,1,0,4,0,1
38,Соболев Александр Сергеевич,7,1,0,4,1,0
39,Захарян Арсен Норайрович,47,1,0,3,1,0
40,Караев Давид Сосланович,18,1,0,4,0,1
41,Цаллагов Ибрагим Юрьевич,15,1,0,3,0,1
42,Бородин Сергей Алексеевич,44,1,0,3,0,1
43,Клаудиньо,11,1,0,4,1,0
44,Трошечкин Александр Игоревич,25,1,0,4,0,1
45,Обляков Иван Сергеевич,10,1,0,4,1,0
46,Ионов Алексей Сергеевич,11,1,0,4,1,0
47,Тимофеев Артём Андреевич,94,1,0,4,1,0
48,Башич Иван ,8,1,0,4,0,1
49,Дашаев Аслан Абдусалаевич,4,1,0,4,0,1
50,Зобнин Роман Сергеевич,47,1,0,4,0,1
51,Альшин Ильнур Туфикович,10,1,0,4,1,0
52,Изидор Вильсон ,10,1,0,4,1,0
53,Ежов Роман Владимирович,11,1,0,4,0,1
54,Уткин Даниил Павлович,47,1,0,4,0,1
55,Бакаев Зелимхан Джабраилович,7,1,1,4,1,0
56,Кузяев Далер Адьямович,14,1,1,2,1,0
57,Фомин Даниил Дмитриевич,74,1,1,3,1,0
58,Миранчук Антон Андреевич,11,1,1,4,1,0
59,Полоз Дмитрий Дмитриевич,7,1,1,4,1,0
60,Воробьёв Дмитрий Дмитриевич,10,1,1,4,0,1
61,Померко Алексей Сергеевич,20,1,1,4,1,0
